sample,variable,value,adjusted_value,label,region,tumor_type
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,total_sv,2,0.210785182181106,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DEL,2,0.210785182181106,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DUP,0,0,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,TRA,0,0,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,h2hINV,0,0,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,t2tINV,0,0,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,INV,0,0,norloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,total_sv,1,0.114000309624841,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DEL,0,0,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DUP,0,0,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,TRA,1,0.114000309624841,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,h2hINV,0,0,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,t2tINV,0,0,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,INV,0,0,rloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,total_sv,1,0.0933996782381085,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DEL,0,0,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DUP,0,0,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,TRA,0,0,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,h2hINV,0,0,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,t2tINV,1,0.0933996782381085,norloop_tts,TTS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,INV,1,0.0933996782381085,norloop_tts,TTS,Pancreas
005794f1-5a87-45b5-9811-83ddf6924568,total_sv,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DEL,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DUP,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,TRA,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,h2hINV,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,t2tINV,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,INV,0,0,rloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,total_sv,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DEL,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DUP,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,TRA,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,h2hINV,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,t2tINV,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,INV,0,0,norloop_tss,TSS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,total_sv,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DEL,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DUP,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,TRA,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,h2hINV,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,t2tINV,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,INV,0,0,rloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,total_sv,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DEL,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,DUP,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,TRA,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,h2hINV,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,t2tINV,0,0,norloop_tts,TTS,Kidney
005794f1-5a87-45b5-9811-83ddf6924568,INV,0,0,norloop_tts,TTS,Kidney
005e85a3-3571-462d-8dc9-2babfc7ace21,total_sv,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DEL,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DUP,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,TRA,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,h2hINV,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,t2tINV,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,INV,0,0,rloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,total_sv,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DEL,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DUP,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,TRA,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,h2hINV,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,t2tINV,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,INV,0,0,norloop_tss,TSS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,total_sv,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DEL,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DUP,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,TRA,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,h2hINV,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,t2tINV,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,INV,0,0,rloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,total_sv,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DEL,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,DUP,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,TRA,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,h2hINV,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,t2tINV,0,0,norloop_tts,TTS,Prostate
005e85a3-3571-462d-8dc9-2babfc7ace21,INV,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,total_sv,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DEL,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DUP,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,TRA,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,h2hINV,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,t2tINV,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,INV,0,0,rloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,total_sv,1,0.105392591090553,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DEL,1,0.105392591090553,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DUP,0,0,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,TRA,0,0,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,h2hINV,0,0,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,t2tINV,0,0,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,INV,0,0,norloop_tss,TSS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,total_sv,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DEL,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DUP,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,TRA,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,h2hINV,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,t2tINV,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,INV,0,0,rloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,total_sv,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DEL,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,DUP,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,TRA,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,h2hINV,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,t2tINV,0,0,norloop_tts,TTS,Prostate
008aef39-0c97-48ce-9dfd-f12d67116c59,INV,0,0,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,total_sv,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DEL,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DUP,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,TRA,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,h2hINV,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,t2tINV,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,INV,0,0,rloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,total_sv,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DEL,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DUP,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,TRA,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,h2hINV,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,t2tINV,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,INV,0,0,norloop_tss,TSS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,total_sv,2,0.228000619249682,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DEL,1,0.114000309624841,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DUP,0,0,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,TRA,1,0.114000309624841,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,h2hINV,0,0,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,t2tINV,0,0,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,INV,0,0,rloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,total_sv,1,0.0933996782381085,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DEL,0,0,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,DUP,0,0,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,TRA,1,0.0933996782381085,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,h2hINV,0,0,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,t2tINV,0,0,norloop_tts,TTS,Prostate
008bad10-d41b-4bbb-86fa-9976ecea46b1,INV,0,0,norloop_tts,TTS,Prostate
00b9d0e6-69dc-4345-bffd-ce32880c8eef,total_sv,2,0.281099278080834,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DEL,0,0,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DUP,0,0,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,TRA,2,0.281099278080834,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,h2hINV,0,0,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,t2tINV,0,0,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,INV,0,0,rloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,total_sv,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DEL,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DUP,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,TRA,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,h2hINV,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,t2tINV,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,INV,0,0,norloop_tss,TSS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,total_sv,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DEL,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DUP,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,TRA,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,h2hINV,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,t2tINV,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,INV,0,0,rloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,total_sv,0,0,norloop_tts,TTS,Lymphoid
00b9d0e6-69dc-4345-bffd-ce32880c8eef,DEL,0,0,norloop_tts,TTS,Lymphoid
